"Created At","สร้างเมื่อ"
"Created By","สร้างโดย"
"ID", "ไอดี"
"Language", "ภาษา"
"Key", "คีย์"
"Translation", "การแปล"
"Create", "สร้าง"
"Refresh", "รีเฟรช"
"Updated At", "อัพเดทเมื่อ"
"Updated By", "อัพเดทโดย"
"App", "แอพ"
"Owner", "เจ้าของ"
"Filter", "ตัวกรอง"
"Column Settings", "ตั้งค่าคอลัมน์"
"Search By", "ค้นหาโดย"
"Document Status", "สถานะเอกสาร"
"Idx", "ลำดับ"
"Vector", "เวกเตอร์"
"User", "ผู้ใช้"
"Doctype Permission", "สิทธิ์เข้าถึงเอกสาร"
"Settings", "การตั้งค่า"
"Name", "ชื่อ"
"Email", "อีเมล"
"Password", "รหัสผ่าน"
"Is Active", "เปิดใช้งาน ?"
"List", "รายการ"
"Edit", "แก้ไข"
"Cancel", "ยกเลิก"
"Save", "บันทึก"
"No docs", "ไม่พบเอกสาร"
"Apply", "ยืนยัน"
"Clear", "ล้าง"
"Add", "เพิ่ม"
"Audit Trail", "การตรวจสอบที่มา"
"Doctype", "ประเภทเอกสาร"
"Doctype Id", "เลขที่เอกสาร"
"Action", "การกระทำ"
"By", "โดย"
"At", "เมื่อ"
"For", "สำหรับ"
"Reset to Default", "รีเซ็ตค่าเริ่มต้น"
"Select All", "เลือกทั้งหมด"
"Value", "ค่า"
"Old Value", "ค่าเก่า"
"New Value", "ค่าใหม่"
"No Activity", "ไม่มีการเคลื่อนไหว"
"Activity", "การเคลื่อนไหว"
"Main", "หลัก"
"By Name", "โดยชื่อ"
"Comment", "ความคิดเห็น"
"Description", "คำอธิบาย"
"Role", "บทบาท"
"Logout", "ออกจากระบบ"
"About", "เกี่ยวกับ"
"Toggle Full Width", "ปรับความกว้าง"
"Toggle Theme", "ปรับธีม"
"Add Row", "เพิ่มแถว"
"User Permission", "สิทธิ์ของผู้ใช้"
"Reload", "โหลดใหม่"
"Duplicate", "ทำซ้ำ"
"Delete", "ลบ"
"Loading", "กำลังโหลด"
"Additional", "เพิ่มเติม"
"Status", "สถานะ",
"No Row", "ไม่มีแถว"
"Edit Selected Row", "แก้ไขแถวที่เลือก"
"Draft", "ร่าง"
"Submitted", "เสนอ"
"Cancelled", "ยกเลิก"
"Deleted", "ลบ"